"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
-0,17;-61,75;-123,67;-185,76;-248,71;-311,49
-0,17;-61,75;-123,67;-185,76;-248,71;-311,49
-0,17;-61,75;-123,67;-185,76;-248,71;-311,49
-0,17;-61,73;-123,67;-185,76;-248,71;-311,49
-0,15;-61,92;-123,67;-185,76;-248,71;-311,49
-0,34;-61,92;-123,67;-185,76;-248,71;-311,49
-0,34;-61,92;-123,67;-185,76;-248,71;-311,49
-0,34;-61,90;-123,67;-185,76;-248,71;-311,49
-0,34;-62,09;-123,67;-185,75;-248,71;-311,49
-0,34;-62,09;-123,67;-185,93;-248,71;-311,49
-0,34;-62,09;-123,67;-185,93;-248,71;-311,49
-0,34;-62,07;-123,67;-185,93;-248,71;-311,50
-0,34;-62,26;-123,67;-185,93;-248,71;-311,32
-0,34;-62,26;-123,67;-185,93;-248,71;-311,32
-0,37;-62,26;-123,67;-185,92;-248,71;-311,32
-0,17;-62,26;-123,67;-186,10;-248,71;-311,32
-0,17;-62,24;-123,67;-186,10;-248,71;-311,32
-0,17;-62,44;-123,67;-186,10;-248,71;-311,32
-0,17;-62,44;-123,67;-186,10;-248,71;-311,32
-0,17;-62,44;-123,67;-186,10;-248,71;-311,32
-0,17;-62,44;-123,67;-186,10;-248,71;-311,32
-0,17;-62,44;-123,67;-186,10;-248,72;-311,32
-0,17;-62,44;-123,67;-186,09;-248,54;-311,32
-0,20;-62,44;-123,67;-186,28;-248,54;-311,32
0,00;-62,44;-123,67;-186,28;-248,54;-311,32
0,00;-62,44;-123,69;-186,28;-248,54;-311,32
0,00;-62,44;-123,50;-186,28;-248,54;-311,32
0,00;-62,44;-123,48;-186,28;-248,54;-311,32
-0,02;-62,44;-123,69;-186,28;-248,54;-311,32
0,17;-62,44;-123,50;-186,28;-248,54;-311,32
0,17;-62,44;-123,50;-186,28;-248,54;-311,32
0,17;-62,44;-123,50;-186,28;-248,54;-311,32
0,17;-62,44;-123,50;-186,28;-248,54;-311,32
0,17;-62,44;-123,50;-186,28;-248,54;-311,32
0,17;-62,44;-123,50;-186,28;-248,54;-311,32
0,15;-62,44;-123,50;-186,28;-248,54;-311,32
0,34;-62,44;-123,50;-186,28;-248,55;-311,32
0,34;-62,44;-123,50;-186,28;-248,37;-311,32
0,34;-62,46;-123,50;-186,28;-248,37;-311,32
0,34;-62,26;-123,50;-186,28;-248,37;-311,32
0,34;-62,26;-123,50;-186,28;-248,37;-311,32
0,34;-62,26;-123,51;-186,28;-248,37;-311,32
0,34;-62,28;-123,32;-186,28;-248,37;-311,32
0,34;-62,09;-123,32;-186,28;-248,37;-311,32
0,34;-62,09;-123,32;-186,28;-248,37;-311,32
0,34;-62,09;-123,32;-186,28;-248,37;-311,32
0,34;-62,11;-123,32;-186,28;-248,37;-311,32
0,34;-61,92;-123,32;-186,28;-248,37;-311,32
0,34;-61,92;-123,32;-186,28;-248,37;-311,32
0,37;-61,92;-123,32;-186,28;-248,37;-311,32
