"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7"
-0,20;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
0,00;-12,90;-25,97;-38,53;-51,77;-64,33;-77,23
0,00;-12,90;-25,97;-38,53;-51,74;-64,33;-77,23
0,00;-12,90;-26,00;-38,53;-51,94;-64,33;-77,23
0,00;-12,93;-25,80;-38,53;-51,94;-64,33;-77,25
0,00;-12,73;-25,80;-38,53;-51,94;-64,30;-77,06
0,00;-12,73;-25,80;-38,53;-51,94;-64,50;-77,06
-0,03;-12,73;-25,80;-38,53;-51,94;-64,50;-77,06
0,17;-12,73;-25,80;-38,53;-51,94;-64,50;-77,06
0,17;-12,73;-25,80;-38,53;-51,97;-64,50;-77,06
0,17;-12,73;-25,80;-38,53;-51,77;-64,53;-77,06
0,17;-12,73;-25,80;-38,53;-51,77;-64,30;-77,06
0,17;-12,73;-25,80;-38,56;-51,77;-64,50;-77,06
0,17;-12,73;-25,83;-38,36;-51,77;-64,50;-77,06
0,14;-12,73;-25,63;-38,36;-51,77;-64,53;-77,06
0,34;-12,73;-25,63;-38,36;-51,77;-64,30;-77,06
0,34;-12,73;-25,63;-38,36;-51,80;-64,53;-77,06
0,34;-12,73;-25,63;-38,36;-51,60;-64,33;-77,06
0,34;-12,73;-25,63;-38,36;-51,60;-64,33;-77,06
0,34;-12,73;-25,63;-38,36;-51,60;-64,33;-77,03
0,34;-12,76;-25,63;-38,36;-51,60;-64,33;-77,23
0,34;-12,56;-25,66;-38,36;-51,60;-64,33;-77,23
0,34;-12,56;-25,46;-38,36;-51,63;-64,33;-77,23
0,34;-12,56;-25,46;-38,36;-51,43;-64,33;-77,23
0,34;-12,56;-25,46;-38,36;-51,43;-64,33;-77,23
0,34;-12,56;-25,46;-38,38;-51,43;-64,33;-77,23
0,34;-12,56;-25,46;-38,18;-51,46;-64,33;-77,23
0,34;-12,56;-25,46;-38,18;-51,26;-64,33;-77,23
