"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
-7,62;-37,67;-11,94;-92,42;-96,92;-88,56
-7,96;-36,01;-11,25;-92,19;-96,12;-89,71
-8,00;-35,04;-10,68;-92,30;-95,08;-91,14
-9,33;-32,92;-9,47;-91,90;-94,10;-92,29
-10,31;-31,89;-8,83;-91,83;-92,90;-93,72
-10,89;-29,99;-8,66;-91,26;-91,70;-94,92
-11,83;-28,97;-8,49;-91,03;-90,50;-96,13
-8,94;-27,19;-8,32;-90,29;-89,34;-97,39
-12,60;-25,58;-8,08;-89,82;-87,97;-98,37
-13,58;-24,33;-8,08;-89,19;-86,60;-99,62
-14,16;-22,49;-8,08;-88,33;-85,22;-100,66
-14,62;-21,23;-8,02;-87,52;-83,90;-101,69
-14,08;-19,34;-8,20;-86,44;-82,35;-102,77
-15,87;-18,31;-8,37;-85,68;-80,75;-103,63
-16,79;-16,42;-8,60;-84,48;-79,43;-104,49
-17,60;-15,27;-8,72;-83,28;-77,88;-105,35
-18,06;-13,96;-7,77;-82,07;-76,39;-106,26
-17,70;-12,23;-9,33;-80,92;-74,62;-106,95
-18,79;-11,38;-10,25;-79,55;-73,07;-107,64
-19,71;-9,65;-10,94;-78,23;-71,58;-108,33
-20,52;-8,62;-11,81;-76,63;-69,86;-109,07
-20,87;-7,71;-11,62;-75,36;-68,09;-109,63
-21,27;-6,15;-12,82;-73,59;-66,60;-109,93
-21,38;-5,29;-14,15;-72,04;-64,82;-110,50
-21,55;-4,49;-15,13;-70,55;-63,33;-110,84
-22,53;-3,46;-15,22;-68,83;-61,56;-111,23
-23,04;-2,31;-17,19;-67,11;-60,07;-111,41
-23,62;-1,56;-18,34;-65,39;-58,29;-111,58
-24,02;-1,11;-18,61;-63,79;-56,75;-111,75
-24,19;-0,42;-20,80;-61,56;-55,26;-111,97
-24,36;0,33;-21,77;-60,18;-53,43;-111,97
-24,54;0,91;-22,80;-57,95;-52,16;-112,02
-24,71;1,25;-24,82;-56,63;-50,33;-111,85
-24,94;1,60;-25,32;-54,17;-49,07;-111,68
-24,94;2,00;-27,45;-52,85;-47,18;-111,56
-24,94;2,24;-28,48;-50,39;-46,09;-111,21
-24,88;2,17;-30,32;-49,01;-44,43;-110,87
-25,17;2,47;-31,64;-46,84;-43,23;-110,58
-24,94;2,24;-33,13;-45,12;-42,20;-110,06
-24,94;2,36;-35,08;-43,46;-40,19;-109,54
-25,00;1,95;-35,77;-41,51;-39,45;-109,08
-24,77;1,84;-38,18;-39,85;-38,30;-108,39
-24,89;1,56;-38,87;-37,79;-36,75;-107,70
-24,48;1,04;-41,22;-36,58;-35,89;-107,02
-24,37;0,59;-42,20;-34,58;-35,15;-106,38
-24,03;-0,10;-44,32;-33,09;-33,83;-105,52
-23,74;-0,79;-45,35;-31,26;-32,85;-104,66
-23,34;-1,47;-47,19;-29,94;-32,40;-103,85
-22,43;-2,04;-48,62;-28,45;-31,83;-102,82
-21,44;-3,07;-49,60;-26,44;-30,68;-101,79
-21,79;-4,23;-51,78;-25,99;-29,87;-100,76
-21,51;-4,73;-52,64;-23,46;-29,53;-99,73
-20,99;-5,88;-54,25;-22,89;-29,19;-98,75
-20,59;-7,44;-55,74;-22,69;-28,78;-97,54
-20,39;-8,11;-56,60;-17,70;-28,67;-96,34
-16,80;-9,49;-58,32;-19,39;-28,27;-95,19
-15,86;-11,05;-59,35;-19,07;-28,04;-93,76
-17,84;-11,55;-60,27;-16,42;-28,04;-92,61
-17,73;-13,68;-61,82;-13,56;-28,04;-91,18
-17,36;-14,83;-62,62;-15,83;-27,98;-90,03
-13,66;-16,14;-63,71;-15,38;-28,15;-88,66
-12,67;-17,81;-64,57;-14,87;-28,32;-87,28
-12,54;-18,78;-65,43;-14,03;-28,43;-85,91
-14,59;-20,97;-66,34;-11,07;-28,84;-84,53
-12,76;-21,71;-67,03;-10,90;-29,01;-83,16
-10,22;-23,84;-67,78;-10,54;-29,59;-81,84
-9,47;-24,81;-68,29;-10,65;-27,38;-80,24
-8,83;-26,88;-68,81;-11,98;-30,32;-78,86
-8,84;-28,25;-69,38;-12,15;-31,24;-77,49
-8,34;-29,51;-69,72;-12,50;-31,99;-76,17
-6,89;-31,41;-70,12;-12,52;-32,45;-74,56
-6,44;-32,44;-70,29;-10,54;-32,90;-73,19
-5,63;-34,40;-70,52;-10,22;-34,45;-71,81
-5,28;-35,14;-70,52;-12,82;-35,37;-70,44
-5,06;-37,32;-70,52;-14,21;-35,83;-69,07
-4,43;-38,24;-70,57;-14,96;-37,26;-67,64
-3,45;-39,56;-70,40;-16,13;-38,58;-66,49
-2,94;-41,34;-70,29;-13,85;-39,27;-65,06
-2,36;-41,97;-69,94;-14,52;-40,65;-63,85
-2,01;-43,63;-69,65;-17,93;-42,14;-62,71
-1,67;-44,95;-69,14;-19,51;-42,94;-61,28
-1,27;-45,70;-68,62;-16,69;-44,84;-60,02
-1,15;-46,96;-68,16;-20,91;-45,87;-59,10
-0,81;-48,11;-67,53;-22,59;-47,71;-57,61
-0,47;-48,74;-66,61;-21,35;-49,03;-56,52
-0,06;-49,54;-65,98;-24,99;-50,58;-55,78
0,11;-50,63;-65,17;-25,55;-52,13;-54,52
0,28;-51,60;-64,09;-27,39;-53,62;-53,37
0,52;-52,12;-63,28;-28,71;-55,45;-52,74
0,45;-52,64;-62,31;-30,20;-56,66;-51,99
0,75;-53,10;-61,10;-32,10;-58,67;-50,62
0,52;-53,90;-59,79;-32,95;-60,16;-49,88
0,52;-54,24;-59,21;-35,54;-61,94;-49,42
0,58;-54,58;-57,27;-36,46;-63,43;-48,73
0,41;-55,04;-56,29;-38,70;-65,15;-48,10
0,23;-54,98;-55,31;-40,07;-66,93;-47,13
0,12;-55,27;-53,09;-42,25;-68,43;-46,55
-0,22;-55,04;-52,68;-43,98;-70,20;-46,15
-0,57;-55,10;-49,93;-45,58;-71,75;-46,04
-0,85;-54,98;-49,53;-47,82;-73,25;-45,69
-1,49;-54,64;-47,98;-49,20;-75,02;-45,29
-1,60;-54,40;-46,38;-51,44;-76,57;-45,12
-2,00;-53,66;-45,18;-52,76;-78,17;-44,95
-2,05;-53,14;-43,00;-55,28;-79,50;-44,78
-2,57;-52,63;-42,54;-56,38;-81,10;-44,55
-2,96;-52,11;-38,99;-58,84;-82,48;-44,49
-3,27;-51,77;-39,28;-60,28;-83,85;-44,66
-6,29;-50,73;-36,58;-62,23;-85,23;-44,83
-7,47;-49,59;-36,01;-63,95;-86,66;-45,01
-6,72;-48,96;-34,24;-65,67;-87,87;-45,12
-5,84;-48,27;-32,57;-67,39;-89,07;-45,52
-5,56;-46,72;-31,54;-69,17;-90,28;-45,64
-8,86;-45,92;-29,65;-70,66;-91,48;-46,10
-10,31;-45,06;-28,74;-72,44;-92,74;-46,04
-11,01;-43,34;-26,21;-74,04;-93,77;-45,81
-11,37;-42,37;-25,87;-75,37;-94,80;-47,36
-9,07;-41,28;-23,98;-76,97;-95,89;-48,28
-12,13;-39,56;-22,72;-78,35;-96,75;-49,08
-13,52;-38,76;-21,92;-79,78;-97,66;-49,54
-14,33;-36,87;-19,85;-80,98;-98,35;-48,91
-15,27;-35,78;-19,28;-82,19;-99,04;-51,09
-12,51;-34,24;-18,43;-83,44;-99,73;-52,29
-15,64;-32,57;-16,64;-84,48;-100,52;-52,69
-16,79;-31,60;-15,72;-85,51;-100,81;-53,33
-17,60;-29,48;-15,15;-86,60;-101,38;-55,10
-17,94;-28,51;-14,36;-87,46;-101,72;-56,02
-18,28;-26,33;-11,98;-88,37;-102,12;-56,43
-18,33;-25,53;-12,39;-89,11;-102,29;-58,09
-19,71;-23,69;-11,94;-89,63;-102,51;-59,35
-20,52;-22,38;-11,31;-90,14;-102,51;-60,27
-20,81;-20,83;-10,45;-90,71;-102,56;-61,70
-21,44;-19,17;-9,47;-91,06;-102,39;-62,91
-21,61;-18,20;-8,71;-91,45;-102,22;-64,06
-21,67;-16,01;-9,00;-91,62;-102,10;-65,44
-22,12;-15,16;-8,83;-91,85;-101,75;-66,81
-22,87;-13,49;-8,66;-91,85;-101,46;-68,24
-23,45;-12,29;-8,43;-91,90;-100,95;-69,40
-23,85;-11,27;-8,43;-91,73;-100,48;-70,77
-23,96;-9,19;-8,37;-91,61;-99,74;-72,10
-24,36;-8,62;-8,60;-91,26;-99,33;-73,70
-24,60;-7,77;-8,54;-90,97;-98,42;-75,08
-24,54;-5,98;-8,71;-90,46;-97,78;-76,45
-24,77;-5,06;-8,82;-89,99;-96,92;-77,83
-24,71;-4,49;-9,05;-89,31;-96,12;-79,15
-24,94;-3,46;-9,67;-88,62;-95,03;-80,76
-25,00;-2,31;-10,65;-87,98;-94,28;-82,13
-24,77;-1,56;-11,11;-87,18;-93,02;-83,51
-24,77;-1,11;-11,92;-86,15;-92,04;-84,89
-24,77;-0,36;-11,96;-85,11;-90,84;-86,26
-24,83;0,16;-13,23;-84,14;-89,64;-87,64
-24,66;0,74;-14,38;-82,93;-88,49;-89,07
-24,48;1,08;-15,07;-81,73;-87,11;-90,22
-24,31;1,42;-15,40;-80,58;-85,74;-91,65
-24,20;1,83;-17,42;-79,20;-84,36;-92,81
-23,91;2,06;-18,28;-77,83;-83,04;-94,24
-23,40;2,06;-18,84;-76,51;-81,44;-95,44
-23,06;2,06;-20,80;-74,96;-80,12;-96,70
-21,67;2,13;-21,77;-73,42;-78,57;-97,68
-21,79;1,95;-22,86;-71,92;-77,02;-98,93
-21,39;1,91;-24,59;-70,21;-75,53;-99,97
-21,27;1,33;-25,32;-68,49;-73,76;-101,00
-21,05;1,04;-27,51;-66,77;-72,27;-102,03
-20,36;0,53;-28,31;-65,05;-70,49;-103,12
-19,91;0,07;-30,15;-63,39;-69,00;-103,98
-18,06;-0,68;-31,58;-61,39;-67,23;-104,84
-18,18;-1,13;-32,55;-60,06;-65,74;-105,75
-17,84;-1,76;-34,74;-57,55;-63,96;-106,44
